account_id,tier,mrr,has_leakage,monthly_leakage_amount,leakage_probability,predicted_leakage,predicted_monthly_amount,predicted_annual_amount,risk_level
ACC000544,Starter,99,False,0.0,0.38990051093760336,0,0.0,0.0,Medium
ACC000108,Starter,99,False,0.0,0.44192656352762716,0,0.0,0.0,Medium
ACC000494,Starter,99,True,23.42,0.47728514906069913,0,0.0,0.0,Medium
ACC000591,Starter,99,False,0.0,0.22469405506039541,0,0.0,0.0,Low
ACC000742,Starter,99,False,0.0,0.39012356925169767,0,0.0,0.0,Medium
ACC000293,Business,799,False,0.0,0.34442940327150917,0,0.0,0.0,Medium
ACC000290,Enterprise,2499,False,0.0,0.39400206263679827,0,0.0,0.0,Medium
ACC000653,Starter,99,False,0.0,0.3750254532251806,0,0.0,0.0,Medium
ACC000040,Business,799,False,0.0,0.4608180179431073,0,0.0,0.0,Medium
ACC000590,Enterprise,2499,True,267.63,0.6100005712244972,1,143.2337615955459,1718.8051391465508,High
ACC000308,Starter,99,False,0.0,0.4822979315048776,0,0.0,0.0,Medium
ACC000680,Starter,99,False,0.0,0.3803257849888083,0,0.0,0.0,Medium
ACC000067,Starter,99,False,0.0,0.4863055933682491,0,0.0,0.0,Medium
ACC000276,Starter,99,False,0.0,0.449239152462166,0,0.0,0.0,Medium
ACC000068,Starter,99,False,0.0,0.3893763278130946,0,0.0,0.0,Medium
ACC000319,Starter,99,False,0.0,0.3318463587033414,0,0.0,0.0,Medium
ACC000549,Business,799,False,0.0,0.532278495888616,1,403.932272836106,4847.187274033272,Medium
ACC000999,Business,799,False,0.0,0.35645138695691014,0,0.0,0.0,Medium
ACC000715,Starter,99,False,0.0,0.35783384175232547,0,0.0,0.0,Medium
ACC000754,Professional,299,False,0.0,0.6356007971253681,1,149.87985732303258,1798.558287876391,High
ACC000328,Starter,99,True,14.85,0.5175046396000628,1,5.435338227703278,65.22405873243935,Medium
ACC000383,Professional,299,False,0.0,0.4843260265938302,0,0.0,0.0,Medium
ACC000452,Starter,99,False,0.0,0.40881984005413274,0,0.0,0.0,Medium
ACC000523,Professional,299,False,0.0,0.4055806448334413,0,0.0,0.0,Medium
ACC000219,Professional,299,True,44.85,0.5893019895435081,1,78.98069692245551,947.7683630694661,Medium
ACC000788,Starter,99,False,0.0,0.4498484675967974,0,0.0,0.0,Medium
ACC000437,Starter,99,True,10.36,0.5732169014070821,1,23.31041642540779,279.7249971048935,Medium
ACC000765,Starter,99,False,0.0,0.36529502366558814,0,0.0,0.0,Medium
ACC000089,Professional,299,True,44.85,0.47065356241982137,0,0.0,0.0,Medium
ACC000064,Professional,299,True,44.85,0.6287817688722529,1,40.31269994325166,483.7523993190199,High
ACC000827,Professional,299,False,0.0,0.44678261516342793,0,0.0,0.0,Medium
