account_id,tier,mrr,contract_start_date,contract_term_months,payment_method_age_days,payment_reliability_score,customer_health_score,licensed_users,actual_users,total_invoices,failed_payment_count,last_login_days_ago,support_tickets_90d,feature_adoption_pct,has_leakage,leakage_type,monthly_leakage_amount,estimated_annual_leakage,detection_difficulty,payment_failure_rate,user_utilization_ratio,days_since_contract_start,revenue_per_user,engagement_score,payment_risk,health_risk,engagement_risk,overutilization
ACC000027,Starter,99,2024-02-04,36,162,0.444,77.3,5,4,22,0,27,3,72.9,False,None,0.0,0.0,N/A,0.0,0.8,670,19.8,72.94,1,0,0,0
ACC000028,Professional,299,2024-04-13,24,330,0.904,96.6,20,18,20,0,58,2,62.6,False,None,0.0,0.0,N/A,0.0,0.9,601,14.95,54.36,0,0,1,0
ACC000029,Business,799,2025-04-13,24,72,0.197,69.6,100,37,7,1,31,0,82.9,False,None,0.0,0.0,N/A,0.14285714285714285,0.37,236,7.99,77.34,1,0,1,0
ACC000030,Enterprise,2499,2024-02-10,36,135,0.37,69.6,500,593,22,3,74,1,89.6,False,None,0.0,0.0,N/A,0.13636363636363635,1.186,664,4.998,64.16,1,0,1,1
ACC000031,Starter,99,2024-06-25,36,205,0.562,88.7,5,2,17,0,46,4,70.0,False,None,0.0,0.0,N/A,0.0,0.4,528,19.8,63.6,1,0,1,0
ACC000032,Starter,99,2025-01-25,12,261,0.715,82.0,5,3,10,0,63,3,56.6,True,Billing_System_Error,8.57,102.79,Medium,0.0,0.6,314,19.8,48.760000000000005,0,0,1,0
ACC000033,Starter,99,2025-06-05,12,57,0.156,84.3,5,2,6,0,19,2,71.8,False,None,0.0,0.0,N/A,0.0,0.4,183,19.8,75.47999999999999,1,0,0,0
ACC000034,Business,799,2025-03-27,36,217,0.595,83.4,100,113,8,0,76,0,66.2,True,Usage_Overage_Unbilled,103.87,1246.44,Medium,0.0,1.13,253,7.99,49.32,1,0,1,1
ACC000035,Starter,99,2025-07-03,24,196,0.537,75.0,5,5,5,0,76,1,63.7,False,None,0.0,0.0,N/A,0.0,1.0,155,19.8,47.82,1,0,1,0
ACC000036,Enterprise,2499,2024-05-15,36,129,0.353,88.1,500,208,18,3,70,2,82.6,False,None,0.0,0.0,N/A,0.16666666666666666,0.416,569,4.998,61.559999999999995,1,0,1,0
ACC000037,Professional,299,2025-08-26,36,59,0.162,64.9,20,16,3,0,87,1,60.1,False,None,0.0,0.0,N/A,0.0,0.8,101,14.95,41.260000000000005,1,0,1,0
ACC000038,Starter,99,2024-03-06,24,329,0.901,97.7,5,5,21,0,43,3,78.8,False,None,0.0,0.0,N/A,0.0,1.0,639,19.8,70.08,0,0,1,0
ACC000039,Professional,299,2025-05-15,24,223,0.611,98.4,20,10,6,0,20,0,81.5,False,None,0.0,0.0,N/A,0.0,0.5,204,14.95,80.9,1,0,0,0
ACC000040,Business,799,2024-05-30,12,135,0.37,92.9,100,33,18,0,64,1,73.6,False,None,0.0,0.0,N/A,0.0,0.33,554,7.99,58.559999999999995,1,0,1,0
ACC000041,Starter,99,2025-03-08,36,55,0.151,77.0,5,4,9,0,80,2,60.3,False,None,0.0,0.0,N/A,0.0,0.8,272,19.8,44.18,1,0,1,0
ACC000042,Starter,99,2024-11-05,36,260,0.712,58.7,5,3,13,0,77,0,57.1,False,None,0.0,0.0,N/A,0.0,0.6,395,19.8,43.46,0,1,1,0
ACC000043,Professional,299,2025-02-15,12,192,0.526,65.5,20,10,9,0,20,0,47.8,False,None,0.0,0.0,N/A,0.0,0.5,293,14.95,60.67999999999999,1,0,0,0
ACC000044,Business,799,2024-03-03,36,1,0.003,59.5,100,37,21,3,76,3,56.6,False,None,0.0,0.0,N/A,0.14285714285714285,0.37,642,7.99,43.56,1,1,1,0
ACC000045,Starter,99,2024-10-10,24,10,0.027,91.3,5,2,14,1,14,1,72.1,False,None,0.0,0.0,N/A,0.07142857142857142,0.4,421,19.8,77.66,1,0,0,0
ACC000046,Enterprise,2499,2024-08-31,24,123,0.337,71.5,500,517,15,0,7,1,41.9,False,None,0.0,0.0,N/A,0.0,1.034,461,4.998,62.34,1,0,0,0
ACC000047,Business,799,2025-01-03,36,41,0.112,93.8,100,51,11,0,10,2,18.7,False,None,0.0,0.0,N/A,0.0,0.51,336,7.99,47.22,1,0,0,0
ACC000048,Starter,99,2024-04-27,12,273,0.748,54.6,5,4,19,1,16,2,59.8,False,None,0.0,0.0,N/A,0.05263157894736842,0.8,587,19.8,69.47999999999999,0,1,0,0
ACC000049,Starter,99,2025-04-28,36,244,0.668,68.3,5,5,7,0,70,1,66.5,False,None,0.0,0.0,N/A,0.0,1.0,221,19.8,51.9,1,0,1,0
ACC000050,Business,799,2025-03-21,24,271,0.742,91.6,100,71,8,0,77,2,68.7,False,None,0.0,0.0,N/A,0.0,0.71,259,7.99,50.42,0,0,1,0
ACC000051,Professional,299,2024-06-30,12,277,0.759,61.6,20,8,17,0,88,4,62.6,False,None,0.0,0.0,N/A,0.0,0.4,523,14.95,42.36,0,0,1,0
ACC000052,Professional,299,2025-02-13,36,160,0.438,81.5,20,7,9,1,51,0,79.7,False,None,0.0,0.0,N/A,0.1111111111111111,0.35,295,14.95,67.42,1,0,1,0
ACC000053,Professional,299,2024-08-20,24,265,0.726,67.7,20,10,15,0,57,2,68.4,False,None,0.0,0.0,N/A,0.0,0.5,472,14.95,58.239999999999995,0,0,1,0
ACC000054,Professional,299,2025-05-06,12,116,0.318,84.1,20,22,7,0,8,3,85.0,False,None,0.0,0.0,N/A,0.0,1.1,213,14.95,87.80000000000001,1,0,0,0
ACC000055,Business,799,2024-09-25,12,302,0.827,95.4,100,105,14,0,70,4,52.7,False,None,0.0,0.0,N/A,0.0,1.05,436,7.99,43.620000000000005,0,0,1,0
ACC000056,Starter,99,2025-01-14,36,113,0.31,67.5,5,3,10,1,0,1,71.9,False,None,0.0,0.0,N/A,0.1,0.6,325,19.8,83.14,1,0,0,0
ACC000057,Professional,299,2025-06-26,36,324,0.888,66.5,20,6,5,0,7,2,19.6,False,None,0.0,0.0,N/A,0.0,0.3,162,14.95,48.96,0,0,0,0
ACC000058,Professional,299,2025-01-15,12,17,0.047,83.7,20,6,10,1,42,1,51.7,False,None,0.0,0.0,N/A,0.1,0.3,324,14.95,54.22,1,0,1,0
ACC000059,Professional,299,2025-06-26,36,122,0.334,65.6,20,23,5,0,35,2,57.7,False,None,0.0,0.0,N/A,0.0,1.15,162,14.95,60.62,1,0,1,1
ACC000060,Starter,99,2024-04-27,12,277,0.759,67.3,5,1,19,1,16,1,59.6,False,None,0.0,0.0,N/A,0.05263157894736842,0.2,587,19.8,69.36,0,0,0,0
ACC000061,Business,799,2024-01-31,36,243,0.666,58.0,100,56,22,1,31,0,52.6,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.045454545454545456,0.56,674,7.99,59.16,1,1,1,0
ACC000062,Business,799,2024-05-10,24,98,0.268,90.0,100,83,19,1,12,3,46.2,False,None,0.0,0.0,N/A,0.05263157894736842,0.83,574,7.99,62.92,1,0,0,0
ACC000063,Professional,299,2025-05-30,36,221,0.605,78.3,20,10,6,0,45,3,45.4,False,None,0.0,0.0,N/A,0.0,0.5,189,14.95,49.239999999999995,1,0,1,0
ACC000064,Professional,299,2024-06-30,24,240,0.658,82.3,20,8,17,1,6,4,91.5,True,Failed_Payment_Retry,44.85,538.2,Easy,0.058823529411764705,0.4,523,14.95,92.5,1,0,0,0
ACC000065,Starter,99,2025-05-29,12,207,0.567,78.7,5,2,6,0,43,1,62.3,False,None,0.0,0.0,N/A,0.0,0.4,190,19.8,60.17999999999999,1,0,1,0
ACC000066,Professional,299,2025-05-18,12,99,0.271,82.7,20,10,6,0,24,0,90.9,True,Failed_Payment_Retry,44.85,538.2,Easy,0.0,0.5,201,14.95,84.94,1,0,0,0
ACC000067,Starter,99,2024-03-06,24,72,0.197,86.9,5,3,21,1,54,3,87.0,False,None,0.0,0.0,N/A,0.047619047619047616,0.6,639,19.8,70.6,1,0,1,0
ACC000068,Starter,99,2025-03-03,24,237,0.649,93.6,5,5,9,0,31,4,60.0,False,None,0.0,0.0,N/A,0.0,1.0,277,19.8,63.6,1,0,1,0
ACC000069,Professional,299,2025-06-21,24,282,0.773,78.1,20,22,5,0,12,4,71.9,True,Billing_System_Error,74.35,892.26,Medium,0.0,1.1,167,14.95,78.34,0,0,0,0
ACC000070,Professional,299,2025-07-17,36,277,0.759,83.5,20,15,4,0,1,3,59.9,False,None,0.0,0.0,N/A,0.0,0.75,141,14.95,75.53999999999999,0,0,0,0
ACC000071,Enterprise,2499,2025-06-03,12,86,0.236,87.8,500,432,6,1,52,3,82.7,True,Failed_Payment_Retry,374.85,4498.2,Easy,0.16666666666666666,0.864,185,4.998,68.82,1,0,1,0
ACC000072,Starter,99,2024-04-27,24,110,0.301,97.1,5,2,19,3,51,1,27.7,False,None,0.0,0.0,N/A,0.15789473684210525,0.4,587,19.8,36.22,1,0,1,0
ACC000073,Enterprise,2499,2025-07-08,12,195,0.534,75.9,500,380,5,0,0,1,79.8,True,Contract_Terms_Error,628.4,7540.82,Hard,0.0,0.76,150,4.998,87.88,1,0,0,0
ACC000074,Enterprise,2499,2024-08-03,24,233,0.638,90.3,500,463,16,0,36,2,35.2,False,None,0.0,0.0,N/A,0.0,0.926,489,4.998,46.72,1,0,1,0
ACC000075,Business,799,2024-06-30,36,285,0.781,84.8,100,37,17,0,84,1,85.1,False,None,0.0,0.0,N/A,0.0,0.37,523,7.99,57.459999999999994,0,0,1,0
ACC000076,Professional,299,2024-04-26,12,98,0.268,82.3,20,16,19,3,37,2,74.5,False,None,0.0,0.0,N/A,0.15789473684210525,0.8,588,14.95,69.9,1,0,1,0
ACC000077,Business,799,2025-01-27,12,297,0.814,74.2,100,91,10,0,69,1,74.3,True,Billing_System_Error,182.57,2190.88,Medium,0.0,0.91,312,7.99,56.98,0,0,1,0
ACC000078,Professional,299,2025-07-06,36,161,0.441,78.1,20,6,5,0,7,3,53.0,False,None,0.0,0.0,N/A,0.0,0.3,152,14.95,69.0,1,0,0,0
ACC000079,Business,799,2025-07-17,36,245,0.671,84.3,100,113,4,0,64,2,75.0,False,None,0.0,0.0,N/A,0.0,1.13,141,7.99,59.4,1,0,1,1
ACC000080,Starter,99,2024-03-12,12,30,0.082,88.7,5,1,21,0,65,2,76.3,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.2,633,19.8,59.779999999999994,1,0,1,0
ACC000081,Professional,299,2025-06-16,12,36,0.099,89.1,20,7,5,0,76,3,74.6,False,None,0.0,0.0,N/A,0.0,0.35,172,14.95,54.36,1,0,1,0
ACC000082,Starter,99,2025-06-29,36,121,0.332,88.1,5,1,5,0,51,4,65.2,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.2,159,19.8,58.72,1,0,1,0
ACC000083,Business,799,2025-05-07,36,127,0.348,71.6,100,85,7,1,74,1,80.4,False,None,0.0,0.0,N/A,0.14285714285714285,0.85,212,7.99,58.64,1,0,1,0
ACC000084,Professional,299,2024-01-07,12,318,0.871,89.6,20,11,23,0,10,0,75.7,False,None,0.0,0.0,N/A,0.0,0.55,698,14.95,81.42,0,0,0,0
ACC000085,Starter,99,2024-07-04,36,299,0.819,81.5,5,3,17,0,72,2,83.7,False,None,0.0,0.0,N/A,0.0,0.6,519,19.8,61.42,0,0,1,0
ACC000086,Starter,99,2024-03-20,24,134,0.367,97.9,5,1,20,0,26,1,74.2,False,None,0.0,0.0,N/A,0.0,0.2,625,19.8,74.12,1,0,0,0
ACC000087,Starter,99,2024-10-20,12,136,0.373,91.0,5,5,13,0,50,5,56.7,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,1.0,411,19.8,54.02,1,0,1,0
ACC000088,Professional,299,2025-04-25,36,331,0.907,87.5,20,10,7,0,38,3,79.2,False,None,0.0,0.0,N/A,0.0,0.5,224,14.95,72.32000000000001,0,0,1,0
ACC000089,Professional,299,2024-05-26,24,38,0.104,65.4,20,17,18,0,1,1,77.7,True,Failed_Payment_Retry,44.85,538.2,Easy,0.0,0.85,558,14.95,86.22,1,0,0,0
ACC000090,Professional,299,2024-05-25,36,289,0.792,92.2,20,21,18,0,12,3,54.6,False,None,0.0,0.0,N/A,0.0,1.05,559,14.95,67.96000000000001,0,0,0,0
ACC000091,Business,799,2025-06-23,36,110,0.301,94.7,100,41,5,0,64,2,52.5,True,Billing_System_Error,40.49,485.88,Medium,0.0,0.41,165,7.99,45.9,1,0,1,0
ACC000092,Professional,299,2024-12-09,12,179,0.49,60.1,20,13,12,1,8,2,58.6,False,None,0.0,0.0,N/A,0.08333333333333333,0.65,361,14.95,71.96000000000001,1,0,0,0
ACC000093,Starter,99,2024-12-30,24,146,0.4,61.4,5,2,11,1,20,1,60.4,False,None,0.0,0.0,N/A,0.09090909090909091,0.4,340,19.8,68.24,1,0,0,0
ACC000094,Business,799,2024-06-15,36,361,0.989,84.5,100,54,17,0,38,2,80.4,False,None,0.0,0.0,N/A,0.0,0.54,538,7.99,73.04,0,0,1,0
ACC000095,Professional,299,2023-12-20,36,271,0.742,83.0,20,14,23,1,1,1,87.0,True,Billing_System_Error,52.16,625.89,Medium,0.043478260869565216,0.7,716,14.95,91.8,0,0,0,0
ACC000096,Enterprise,2499,2024-02-17,24,340,0.932,89.8,500,229,21,0,13,6,63.1,True,Expired_Payment_Method,2499.0,29988.0,Easy,0.0,0.458,657,4.998,72.66,0,0,0,0
ACC000097,Starter,99,2025-04-22,24,60,0.164,73.3,5,1,7,1,13,4,52.8,False,None,0.0,0.0,N/A,0.14285714285714285,0.2,227,19.8,66.48,1,0,0,0
ACC000098,Business,799,2024-02-18,12,140,0.384,78.9,100,40,21,2,36,0,78.5,False,None,0.0,0.0,N/A,0.09523809523809523,0.4,656,7.99,72.7,1,0,1,0
ACC000099,Starter,99,2023-12-27,12,176,0.482,76.0,5,1,23,2,26,3,53.9,False,None,0.0,0.0,N/A,0.08695652173913043,0.2,709,19.8,61.94,1,0,0,0
ACC000100,Starter,99,2024-12-10,36,251,0.688,93.3,5,4,12,0,32,3,70.9,False,None,0.0,0.0,N/A,0.0,0.8,360,19.8,69.74000000000001,1,0,1,0
ACC000101,Starter,99,2025-07-16,12,325,0.89,74.2,5,2,4,0,54,2,90.7,False,None,0.0,0.0,N/A,0.0,0.4,142,19.8,72.82000000000001,0,0,1,0
ACC000102,Professional,299,2024-11-27,12,2,0.005,83.2,20,15,12,2,42,0,43.5,False,None,0.0,0.0,N/A,0.16666666666666666,0.75,373,14.95,49.3,1,0,1,0
ACC000103,Business,799,2025-04-26,36,135,0.37,77.9,100,84,7,1,20,2,30.6,False,None,0.0,0.0,N/A,0.14285714285714285,0.84,223,7.99,50.36,1,0,0,0
ACC000104,Starter,99,2024-06-11,36,362,0.992,91.6,5,3,18,0,54,0,33.0,False,None,0.0,0.0,N/A,0.0,0.6,542,19.8,38.2,0,0,1,0
ACC000105,Professional,299,2024-02-10,12,58,0.159,74.3,20,17,22,3,9,1,74.4,True,Failed_Payment_Retry,44.85,538.2,Easy,0.13636363636363635,0.85,664,14.95,81.03999999999999,1,0,0,0
ACC000106,Professional,299,2025-04-07,36,19,0.052,69.5,20,7,8,0,47,2,85.2,True,Billing_System_Error,65.37,784.42,Medium,0.0,0.35,242,14.95,72.32,1,0,1,0
ACC000107,Starter,99,2024-01-19,36,76,0.208,78.2,5,4,22,2,55,1,29.6,True,Failed_Payment_Retry,14.85,178.2,Easy,0.09090909090909091,0.8,686,19.8,35.760000000000005,1,0,1,0
ACC000108,Starter,99,2025-04-29,12,158,0.433,92.8,5,1,7,0,46,4,85.4,False,None,0.0,0.0,N/A,0.0,0.2,220,19.8,72.84,1,0,1,0
ACC000109,Business,799,2025-07-28,24,108,0.296,79.4,100,38,4,0,87,0,69.5,True,Failed_Payment_Retry,119.85,1438.2,Easy,0.0,0.38,130,7.99,46.9,1,0,1,0
ACC000110,Starter,99,2024-12-25,36,53,0.145,92.1,5,3,11,0,45,2,65.8,False,None,0.0,0.0,N/A,0.0,0.6,345,19.8,61.48,1,0,1,0
ACC000111,Business,799,2024-02-11,24,318,0.871,89.8,100,108,22,0,19,2,71.0,False,None,0.0,0.0,N/A,0.0,1.08,663,7.99,75.0,0,0,0,0
ACC000112,Enterprise,2499,2025-01-07,12,91,0.249,79.6,500,565,11,1,52,2,82.8,False,None,0.0,0.0,N/A,0.09090909090909091,1.13,332,4.998,68.88,1,0,1,1
ACC000113,Starter,99,2025-08-12,12,171,0.468,74.0,5,2,3,0,52,1,61.4,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.4,115,19.8,56.04,1,0,1,0
ACC000114,Starter,99,2024-12-26,24,82,0.225,76.7,5,5,11,0,89,3,84.9,False,None,0.0,0.0,N/A,0.0,1.0,344,19.8,55.34,1,0,1,0
ACC000115,Starter,99,2025-05-19,24,20,0.055,94.9,5,3,6,0,60,0,89.1,False,None,0.0,0.0,N/A,0.0,0.6,200,19.8,69.46,1,0,1,0
ACC000116,Professional,299,2025-01-22,12,236,0.647,69.6,20,13,10,0,44,0,80.4,False,None,0.0,0.0,N/A,0.0,0.65,317,14.95,70.64,1,0,1,0
ACC000117,Starter,99,2024-10-29,12,115,0.315,92.8,5,3,13,2,3,0,73.6,True,Failed_Payment_Retry,14.85,178.2,Easy,0.15384615384615385,0.6,402,19.8,82.96000000000001,1,0,0,0
ACC000118,Professional,299,2025-02-21,24,169,0.463,87.6,20,22,9,1,35,3,41.5,False,None,0.0,0.0,N/A,0.1111111111111111,1.1,287,14.95,50.9,1,0,1,0
ACC000119,Professional,299,2025-06-27,24,180,0.493,72.6,20,15,5,0,82,3,82.9,True,Failed_Payment_Retry,44.85,538.2,Easy,0.0,0.75,161,14.95,56.940000000000005,1,0,1,0
ACC000120,Starter,99,2024-04-03,24,348,0.953,90.8,5,3,20,0,68,1,74.8,False,None,0.0,0.0,N/A,0.0,0.6,611,19.8,57.67999999999999,0,0,1,0
ACC000121,Starter,99,2024-10-02,12,60,0.164,63.9,5,3,14,0,33,0,51.2,False,None,0.0,0.0,N/A,0.0,0.6,429,19.8,57.519999999999996,1,0,1,0
ACC000122,Starter,99,2025-03-08,36,136,0.373,92.3,5,4,9,0,4,3,86.3,True,Failed_Payment_Retry,14.85,178.2,Easy,0.0,0.8,272,19.8,90.18,1,0,0,0
ACC000123,Professional,299,2025-05-18,36,223,0.611,75.3,20,21,6,0,44,5,48.7,False,None,0.0,0.0,N/A,0.0,1.05,201,14.95,51.620000000000005,1,0,1,0
ACC000124,Business,799,2024-10-20,24,311,0.852,79.2,100,114,13,0,65,1,62.1,False,None,0.0,0.0,N/A,0.0,1.14,411,7.99,51.26,0,0,1,1
ACC000125,Business,799,2025-05-11,24,296,0.811,58.2,100,56,6,0,24,4,78.7,True,Billing_System_Error,171.94,2063.29,Medium,0.0,0.56,208,7.99,77.62,0,1,0,0
ACC000126,Starter,99,2024-12-20,12,363,0.995,66.6,5,3,11,0,55,1,91.4,False,None,0.0,0.0,N/A,0.0,0.6,350,19.8,72.84,0,0,1,0
ACC000127,Starter,99,2025-09-05,36,276,0.756,49.8,5,4,3,0,87,2,48.5,False,None,0.0,0.0,N/A,0.0,0.8,91,19.8,34.3,0,1,1,0
ACC000128,Professional,299,2025-02-17,24,221,0.605,85.6,20,16,9,0,8,3,79.9,False,None,0.0,0.0,N/A,0.0,0.8,291,14.95,84.74000000000001,1,0,0,0
ACC000129,Starter,99,2024-10-03,36,161,0.441,70.4,5,3,14,0,84,2,66.0,False,None,0.0,0.0,N/A,0.0,0.6,428,19.8,46.0,1,0,1,0
ACC000130,Professional,299,2025-05-02,36,154,0.422,95.7,20,13,7,1,64,2,78.9,False,None,0.0,0.0,N/A,0.14285714285714285,0.65,217,14.95,61.74,1,0,1,0
ACC000131,Starter,99,2024-10-25,36,210,0.575,68.7,5,5,13,0,41,3,48.1,False,None,0.0,0.0,N/A,0.0,1.0,406,19.8,52.46,1,0,1,0
ACC000132,Starter,99,2024-07-21,36,152,0.416,59.5,5,4,16,0,70,1,59.6,False,None,0.0,0.0,N/A,0.0,0.8,502,19.8,47.76,1,1,1,0
ACC000133,Starter,99,2025-04-29,12,216,0.592,87.4,5,2,7,0,85,3,63.0,False,None,0.0,0.0,N/A,0.0,0.4,220,19.8,43.8,1,0,1,0
ACC000134,Starter,99,2024-08-14,36,90,0.247,46.9,5,1,15,2,78,3,58.8,True,Failed_Payment_Retry,14.85,178.2,Easy,0.13333333333333333,0.2,478,19.8,44.08,1,1,1,0
ACC000135,Starter,99,2024-02-02,24,208,0.57,66.5,5,5,22,1,70,1,71.5,True,Billing_System_Error,23.41,280.91,Medium,0.045454545454545456,1.0,672,19.8,54.9,1,0,1,0
ACC000136,Professional,299,2025-09-06,24,147,0.403,74.8,20,7,3,0,26,1,50.2,True,Failed_Payment_Retry,44.85,538.2,Easy,0.0,0.35,90,14.95,59.72,1,0,0,0
ACC000137,Professional,299,2024-06-23,36,311,0.852,92.0,20,20,17,0,83,0,77.0,True,Expired_Payment_Method,299.0,3588.0,Easy,0.0,1.0,530,14.95,53.0,0,0,1,0
ACC000138,Starter,99,2024-10-12,24,227,0.622,93.2,5,5,13,1,56,1,69.7,False,None,0.0,0.0,N/A,0.07692307692307693,1.0,419,19.8,59.42,1,0,1,0
ACC000139,Professional,299,2025-01-31,36,243,0.666,73.6,20,12,10,0,21,2,55.1,False,None,0.0,0.0,N/A,0.0,0.6,308,14.95,64.66,1,0,0,0
ACC000140,Business,799,2025-06-12,24,264,0.723,87.3,100,92,5,0,84,3,78.7,False,None,0.0,0.0,N/A,0.0,0.92,176,7.99,53.62,0,0,1,0
ACC000141,Business,799,2023-12-12,24,48,0.132,82.3,100,37,24,5,30,5,74.2,False,None,0.0,0.0,N/A,0.20833333333333334,0.37,724,7.99,72.52000000000001,1,0,0,0
ACC000142,Professional,299,2024-10-24,12,102,0.279,73.4,20,19,13,0,18,4,72.9,False,None,0.0,0.0,N/A,0.0,0.95,407,14.95,76.54,1,0,0,0
ACC000143,Professional,299,2025-08-12,12,126,0.345,94.6,20,20,3,0,60,1,42.0,False,None,0.0,0.0,N/A,0.0,1.0,115,14.95,41.2,1,0,1,0
ACC000144,Professional,299,2023-12-21,12,234,0.641,81.6,20,17,23,0,53,3,81.5,False,None,0.0,0.0,N/A,0.0,0.85,715,14.95,67.7,1,0,1,0
